disease,relation,object
肺泡蛋白质沉积症,发病部位,肺
肺泡蛋白质沉积症,描述,一种罕见疾病，以肺泡和细支气管腔内充满PAS染色阳性，来自肺的富磷脂蛋白质物质为其特征，好发于青中年，男性发病约3倍于女性
肺泡蛋白质沉积症,预防,避免细菌感染，提高免疫力
肺泡蛋白质沉积症,病因,机体免疫功能下降，遗传因素，酗酒，微生物感染
肺泡蛋白质沉积症,主要症状,紫绀，胸痛，呼吸困难，乏力
肺泡蛋白质沉积症,治疗方法,支气管肺泡灌洗
肺泡蛋白质沉积症,传染性,无传染性
百日咳,发病部位,呼吸系统
百日咳,描述,由百日咳杆菌所致的急性呼吸道传染病
百日咳,预防,疫苗接种
百日咳,病因,百日咳杆菌引起
百日咳,主要症状,痉挛性咳嗽
百日咳,治疗方法,药物治疗
百日咳,传染性,呼吸道传播
喘息样支气管炎,发病部位,支气管
喘息样支气管炎,描述,喘息样支气管炎是一临床综合征，泛指一组有喘息表现的婴幼儿急性支气管炎
喘息样支气管炎,预防,注意家族与患儿自身过敏史
喘息样支气管炎,病因,常继发于上呼吸道感染
喘息样支气管炎,主要症状,喘息样支气管炎，发热，呼气时间延长并伴有哮鸣音及粗湿啰音
喘息样支气管炎,治疗方法,药物治疗
喘息样支气管炎,传染性,无传染性
喘息样支气管炎,多发群体,1～3岁小儿
大叶性肺炎,发病部位,肺
大叶性肺炎,描述,又名肺炎球菌肺炎，是由肺炎双球菌等细菌感染引起的呈大叶性分布的肺部急性炎症
大叶性肺炎,预防,注意预防上呼吸道感染，避免淋雨受寒
大叶性肺炎,病因,肺炎链球菌感染
大叶性肺炎,主要症状,寒战，高热，胸痛，咳嗽，咳铁锈色痰，恶心，呕吐
大叶性肺炎,治疗方法,抗生素药物治疗
大叶性肺炎,传染性,无传染性
大叶性肺炎,别称,肺炎球菌肺炎
肺放线菌病,发病部位,肺
肺放线菌病,描述,肺放线菌病由厌氧的以色列放线菌感染肺部引起的慢性化脓性肉芽肿性疾病
肺放线菌病,预防,注意饮食卫生，注意口腔卫生，对病牙及扁桃体等病灶应早期治疗
肺放线菌病,病因,肺放线菌感染
肺放线菌病,主要症状,低热或不规则发热，咳嗽，咳出少量黏液痰
肺放线菌病,治疗方法,大剂量青霉素治疗，手术治疗
肺放线菌病,传染性,无传染性
放射性肺炎,发病部位,肺
放射性肺炎,描述,放射性肺炎是由于肺癌、乳腺癌、食管癌、恶性淋巴瘤或胸部其他恶性肿瘤经放射治疗后，在放射野内的正常肺组织受到损伤而引起的炎症反应
放射性肺炎,预防,严格掌握放射剂量，发病及时治疗
放射性肺炎,病因,放射治疗
放射性肺炎,主要症状,刺激性咳嗽，气急，心悸，胸痛
放射性肺炎,治疗方法,药物对症治疗为主，早期可能需要激素治疗
放射性肺炎,传染性,无传染性
肺念珠菌病,发病部位,肺
肺念珠菌病,描述,肺念珠菌病是念珠菌属引起的急性、亚急性或慢性支气管和肺部感染
肺念珠菌病,预防,勿滥用广谱抗生素
肺念珠菌病,病因,念珠菌感染
肺念珠菌病,主要症状,咳嗽，咳出少量黏液痰
肺念珠菌病,治疗方法,抗真菌治疗
肺念珠菌病,传染性,呼吸道传播
肺大疱,发病部位,肺
肺大疱,描述,肺大疱是指由于各种原因导致肺泡腔内压力升高，肺泡壁破裂并互相融合，在肺组织形成的含气囊腔
肺大疱,预防,戒烟，预防支气管肺部感染。
肺大疱,病因,多继发于肺部和支气管炎性病变，少数为先天性
肺大疱,主要症状,咳嗽，胸闷，气短，呼吸困难
肺大疱,治疗方法,康复治疗，手术治疗
肺大疱,传染性,无传染性
肺大疱,别称,肺大泡，肺气囊
肺气肿,发病部位,肺
肺气肿,描述,肺气肿是指终末细支气管远端的气道弹性减退，过度膨胀、充气和肺容积增大或同时伴有气道壁破坏的病理状态
肺气肿,预防,戒烟，注意生活环境
肺气肿,病因,吸烟，感染，大气污染
肺气肿,主要症状,在咳嗽，咯痰，呼吸困难
肺气肿,治疗方法,药物治疗，手术治疗
肺气肿,传染性,无传染性
肺气肿,多发群体,中老年人
肺脓肿,发病部位,肺
肺脓肿,描述,肺脓肿是由于多种病因所引起的肺组织化脓性病变
肺脓肿,预防,应重视口腔、上呼吸道慢性感染的预防与治疗
肺脓肿,病因,细菌感染，支气管堵塞，全身抵抗力降低
肺脓肿,主要症状,胸痛，黏稠或脓性痰
肺脓肿,治疗方法,药物治疗，手术治疗
肺脓肿,传染性,无传染性
肺脓肿,多发群体,壮年男性
肺栓塞,发病部位,肺
肺栓塞,描述,体循环的各种栓子脱落阻塞肺动脉及其分支引起肺循环障碍的临床病理生理综合征
肺栓塞,预防,预防下肢血栓性静脉炎和血栓形成，防治静脉曲张等
肺栓塞,病因,体循环的各种栓子脱落引起
肺栓塞,主要症状,虚脱，面色苍白，出冷汗，呼吸困难，胸痛，咳嗽
肺栓塞,治疗方法,药物治疗，外科治疗
肺栓塞,传染性,无传染性
肺炎,发病部位,肺
肺炎,描述,肺炎是指终末气道、肺泡和肺间质的炎症
肺炎,预防,注防寒保暖，增强体质
肺炎,病因,细菌感染
肺炎,主要症状,咳泡沫黏液痰，呼吸困难，咳嗽，胸痛
肺炎,治疗方法,药物治疗，支持性治疗
肺炎,传染性,无传染性
肺水肿,发病部位,肺
肺水肿,描述,肺水肿是指肺内组织液从肺毛细血管内外渗，积聚在肺泡、肺间质和细小支气管内，从而造成肺通气与换气功能严重障碍
肺水肿,预防,防寒保暖，避免受凉
肺水肿,病因,可分为心源性和非心源性两大类
肺水肿,主要症状,呼吸困难，发绀，大汗淋漓，咳嗽
肺水肿,治疗方法,药物治疗
肺水肿,传染性,无传染性
肺癌,发病部位,肺
肺癌,描述,肺癌是发病率和死亡率增长最快，对人群健康和生命威胁最大的恶性肿瘤之一
肺癌,预防,戒烟，正确的饮食习惯，注意呼吸环境
肺癌,病因,吸烟，职业暴露，环境污染，结核，肺部慢性炎症，遗传
肺癌,主要症状,咳嗽，痰中带血，低热，胸痛，气闷
肺癌,治疗方法,药物治疗，手术治疗，放射治疗，化疗，靶向药物治疗
肺癌,传染性,无传染性
肺癌,别称,支气管肺癌
呼吸衰竭,发病部位,呼吸系统
呼吸衰竭,描述,呼吸衰竭是各种原因引起的肺通气或换气功能严重障碍，以致不能进行有效的气体交换，导致缺氧从而引起一系列生理功能和代谢紊乱的临床综合征
呼吸衰竭,预防,保持身体健康
呼吸衰竭,主要症状,上肺纤维化明显，呼吸衰竭，呼吸困难
呼吸衰竭,治疗方法,药物治疗
呼吸衰竭,传染性,无传染性
呼吸衰竭,别称,呼衰
急性呼吸窘迫综合征,发病部位,呼吸系统
急性呼吸窘迫综合征,预防,加强监护
急性呼吸窘迫综合征,病因,肺炎，误吸，肺挫伤，全身严重感染，严重多发伤
急性呼吸窘迫综合征,主要症状,昏迷，呼吸衰竭
急性呼吸窘迫综合征,治疗方法,药物治疗，支持性治疗
急性呼吸窘迫综合征,传染性,无传染性
气管肿瘤,发病部位,气管
气管肿瘤,描述,气管肿瘤有良性肿瘤和恶性肿瘤两大类
气管肿瘤,预防,早期诊断，早期治疗
气管肿瘤,病因,气管腔的肿块或溃破癌变
气管肿瘤,主要症状,早期刺激性咳嗽、痰少或无痰，晚期出现气短、呼吸困难、喘鸣
气管肿瘤,治疗方法,手术治疗
气管肿瘤,传染性,无传染性
气管、支气管狭窄,发病部位,气管
气管、支气管狭窄,描述,气管支气管狭窄是气道梗阻引致气急和呼吸困难，体力活动和呼吸道内分泌物增多时加重，常有喘鸣
气管、支气管狭窄,预防,早期发现，早期治疗
气管、支气管狭窄,病因,支气管内病变，创伤
气管、支气管狭窄,主要症状,气急，呼吸困难
气管、支气管狭窄,治疗方法,手术治疗
气管、支气管狭窄,传染性,无传染性
鼾症,发病部位,呼吸系统
鼾症,描述,一种普遍存在的睡眠现象，是在睡觉时由于呼吸受阻舌与软腭颤动而产生粗重的声音
鼾症,预防,避免烟酒，保持良好的生活习惯
鼾症,病因,上呼吸道狭窄或堵塞，鼻腔疾病
鼾症,主要症状,打呼噜，睡眠节律紊乱，心律失常，睡眠呼吸暂停
鼾症,治疗方法,手术治疗，康复治疗
鼾症,传染性,无传染性
鼾症,别称,打鼾，打呼噜，睡眠呼吸暂停综合症
矽肺,发病部位,肺
矽肺,描述,是由于长期吸入大量游离二氧化硅粉尘所引起，以肺部广泛的结节性纤维化为主的疾病
矽肺,预防,工作时加强个人防护
矽肺,病因,空气中粉尘浓度高，接触时间长
矽肺,主要症状,胸痛，肺纤维化
矽肺,治疗方法,药物治疗
矽肺,传染性,无传染性
矽肺,别称,硅肺
哮喘,发病部位,呼吸系统
哮喘,描述,是由多种细胞及细胞组份参与的气道慢性炎症性疾病
哮喘,预防,注意过敏原，加强身体锻炼
哮喘,病因,遗传，变应原引起，环境，药物，生理因素
哮喘,主要症状,突发性喘息，气促，胸闷，咳嗽
哮喘,治疗方法,药物治疗
哮喘,传染性,无传染性
哮喘,别称,支气管哮喘
细菌性肺炎,发病部位,肺
细菌性肺炎,描述,由细菌引起的肺部炎症
细菌性肺炎,预防,增强身体素质
细菌性肺炎,病因,细菌感染所致
细菌性肺炎,主要症状,咳嗽，咳痰，胸痛
细菌性肺炎,治疗方法,药物治疗
细菌性肺炎,传染性,无传染性
细菌性肺炎,多发群体,儿童、老年人
衣原体肺炎,发病部位,肺
衣原体肺炎,描述,衣原体肺炎是由衣原体引起的肺炎
衣原体肺炎,预防,增强免疫能力
衣原体肺炎,病因,衣原体感染引起
衣原体肺炎,主要症状,发热，寒战，肌痛，干咳，非胸膜炎性胸痛，头痛，乏力
衣原体肺炎,治疗方法,药物治疗
衣原体肺炎,传染性,呼吸道传播
衣原体肺炎,多发群体,学龄儿童
支原体肺炎,发病部位,肺
支原体肺炎,描述,支原体肺炎是肺炎支原体引起的急性呼吸道感染伴肺炎
支原体肺炎,预防,增强免疫能力，少去人密集场所
支原体肺炎,病因,支原体感染引起
支原体肺炎,主要症状,干咳，发热
支原体肺炎,治疗方法,药物治疗
支原体肺炎,传染性,空气传播
支气管扩张,发病部位,支气管
支气管扩张,描述,支气管扩张是由于支气管及其周围肺组织慢性化脓性炎症和纤维化，使支气管壁的肌肉和弹性组织破坏，导致支气管变形及持久扩张
支气管扩张,预防,积极治疗呼吸道感染
支气管扩张,病因,感染
支气管扩张,主要症状,慢性咳嗽，咳大量脓痰，咯血
支气管扩张,治疗方法,药物治疗
