entity,property,value
运动系统,组成,骨，骨连结，骨骼肌
运动系统,功能,运动系统主要的功能是运动和支持
骨架,定义,用作支持某物的结构
关节,拼音,guānjié
关节,定义,人体骨骼的骨块之间的连接点
关节,组成,关节囊，关节面，关节腔
韧带,定义,韧带属于致密结缔组织
韧带,分类,弹性结缔组织和致密结缔组织
韧带,性质,可弯曲，纤维样的致密结缔组织
韧带,作用,限制骨骼活动范围以免损伤
脊柱,位置,背部正中，上端接颅骨
脊柱,特点,自上而下渐加宽
脊柱,拼音,jǐzhù
消化系统,组成,口腔，咽，食道，胃，小大肠
消化系统,地位,人体九大系统之一
消化系统,组成,消化道和消化腺
口腔,定义,消化道的起始部分
牙齿,定义,人类和高等动物咀嚼食物的器官
牙齿,拼音,yáchǐ
牙齿,主要成分,羟基磷酸钙
牙齿,作用,切咬，咀嚼，保持面部外形和辅助发音
牙齿,别称,骨余，白石，户门
舌,性质,味觉器官
舌,功能,感知味觉
唾腺,拼音,tuòxiàn
唾腺,定义,指唾液腺
腮腺,拼音,sāixiàn
腮腺,功能,分泌唾液，分泌酶
腮腺,性质,唾液腺
舌下腺,分泌物,唾液、粘液
咽,拼音,yān
咽,定义,连接口与肺和胃的通道
咽,功能,是气体的通道
咽,长度,长约12～14cm
咽,生理机能,呼吸功能
食道,定义,由肌肉组成的通道
食道,位置,连接咽喉到胃
食道,作用,食物运送
胃,功能,消化食物，分泌酶
胃,位置,位于膈下，上接食道，下通小肠
小肠,组成,十二指肠，空肠，回肠
小肠,位置,腹腔的后上部
小肠,功能,吸收营养，分泌酶，消化食物
十二指肠,位置,胃与空肠之间
十二指肠,长度,20～25cm
十二指肠,功能,吸收养分，分泌酶，消化食物
空肠,定义,哺乳类动物的小肠十二指肠以后的部分
空肠,位置,腹腔的左上侧
大肠,组成,结肠，直肠
大肠,定义,消化系统的重要组成部分
大肠,功能,保护黏膜和润滑粪便
结肠,定义,消化系统的重要组成部分
结肠,功能,消化食物，吸收水分，排泄机体废物质
直肠,定义,肠管的最末的一段
直肠,功能,储存粪便，排泄粪便
肝脏,拼音,gānzàng
肝脏,定义,身体内以代谢功能为主的一个器官
肝脏,位置,右上腹，隐藏在膈下和肋骨深面
肝脏,质地,正常肝呈红褐色，质地柔软
肝脏,重量,成人的肝重量相当于体重的2%
肝脏,功能,生物转化、解毒
