entity,property,value
骨架,属于,运动系统
关节,属于,运动系统
韧带,属于,运动系统
脊柱,属于,运动系统
口腔,属于,消化系统
牙齿,属于,消化系统
舌,属于,消化系统
唾腺,属于,消化系统
腮腺,属于,消化系统
下颌腺,属于,消化系统
舌下腺,属于,消化系统
咽,属于,消化系统
食道,属于,消化系统
胃,属于,消化系统
小肠,属于,消化系统
十二指肠,属于,消化系统
空肠,属于,消化系统
回肠,属于,消化系统
大肠,属于,消化系统
肝脏,属于,消化系统
腮腺,属于,消化系统
胆囊,属于,消化系统
肠系膜,属于,消化系统
结肠,属于,消化系统
直肠,属于,消化系统
胰脏,属于,消化系统
鼻腔,属于,呼吸系统
咽,属于,呼吸系统
喉,属于,呼吸系统
气管,属于,呼吸系统
支气管,属于,呼吸系统
肺,属于,呼吸系统
横膈膜,属于,呼吸系统
肾脏,属于,泌尿系统
输尿管,属于,泌尿系统
膀胱,属于,泌尿系统
尿道,属于,泌尿系统
卵巢,属于,生殖系统
输卵管,属于,生殖系统
子宫,属于,生殖系统
阴道,属于,生殖系统
阴蒂,属于,生殖系统
胎盘,属于,生殖系统
睾丸,属于,生殖系统
附睾,属于,生殖系统
输精管,属于,生殖系统
精囊,属于,生殖系统
前列腺,属于,生殖系统
阴茎,属于,生殖系统
阴囊,属于,生殖系统
乳腺,属于,生殖系统
脑下垂体,属于,内分泌系统
松果体,属于,内分泌系统
甲状腺,属于,内分泌系统
副甲状腺,属于,内分泌系统
胸腺,属于,内分泌系统
肾上腺,属于,内分泌系统
胰岛,属于,内分泌系统
性腺,属于,内分泌系统
心脏,属于,循环系统
动脉,属于,循环系统
静脉,属于,循环系统
微血管,属于,循环系统
淋巴管,属于,淋巴系统
淋巴结,属于,淋巴系统
骨髓,属于,淋巴系统
胸腺,属于,淋巴系统
脾脏,属于,淋巴系统
肠相关淋巴组织,属于,淋巴系统
淋巴,属于,淋巴系统
扁桃腺,属于,淋巴系统
大脑,属于,神经系统
大脑半球,属于,神经系统
间脑,属于,神经系统
脑干,属于,神经系统
中脑,属于,神经系统
桥脑,属于,神经系统
延髓,属于,神经系统
小脑,属于,神经系统
脊髓,属于,神经系统
脑室,属于,神经系统
脉络丛,属于,神经系统
脑神经,属于,神经系统
脊神经,属于,神经系统
神经节,属于,神经系统
眼,属于,感觉器官
耳,属于,感觉器官
鼻,属于,感觉器官
舌,属于,感觉器官
角膜,属于,眼
虹膜,属于,眼
睫状体,属于,眼
晶状体,属于,眼
视网膜,属于,眼
耳垂,属于,耳
鼓膜,属于,耳
中耳,属于,耳
听小骨,属于,耳
内耳,属于,耳
耳蜗,属于,耳
耳前庭,属于,耳
半规管,属于,耳
嗅上皮细胞,属于,鼻
